"","RNA-hipocampo-5xFAD-A.bam","RNA-hipocampo-5xFAD-B.bam","RNA-hipocampo-WT-A.bam","RNA-hipocampo-WT-B.bam"
"ENSMUSG00000026123",70,67,87,52
"ENSMUSG00000103716",0,0,0,0
"ENSMUSG00000103548",0,0,2,0
"ENSMUSG00000103760",0,0,0,0
"ENSMUSG00000103997",0,0,0,0
"ENSMUSG00000077231",0,0,0,0
"ENSMUSG00000104417",0,0,0,0
"ENSMUSG00000064601",0,0,0,0
"ENSMUSG00000101714",0,0,0,0
"ENSMUSG00000102531",0,0,0,0
"ENSMUSG00000103096",0,0,0,0
"ENSMUSG00000102279",0,0,0,0
"ENSMUSG00000103708",0,0,0,0
"ENSMUSG00000104201",0,0,0,0
"ENSMUSG00000102434",0,0,0,0
"ENSMUSG00000045216",31,15,21,25
"ENSMUSG00000104523",0,0,0,0
"ENSMUSG00000102202",0,0,0,0
"ENSMUSG00000037470",19,12,19,15
"ENSMUSG00000098752",0,0,0,0
"ENSMUSG00000047180",1,2,1,1
"ENSMUSG00000037447",8,5,5,10
"ENSMUSG00000102762",0,0,0,0
"ENSMUSG00000010453",24,32,23,24
"ENSMUSG00000098680",0,0,0,0
"ENSMUSG00000037432",3,10,3,3
"ENSMUSG00000001143",23,17,16,6
"ENSMUSG00000037408",3,5,5,8
"ENSMUSG00000104316",0,0,0,0
"ENSMUSG00000106081",0,0,0,0
"ENSMUSG00000001138",14,13,13,13
"ENSMUSG00000102845",0,0,0,0
"ENSMUSG00000067653",0,0,0,0
"ENSMUSG00000109510",0,0,0,0
"ENSMUSG00000079610",2,2,6,3
"ENSMUSG00000026121",10,5,4,6
"ENSMUSG00000087589",1,0,1,0
"ENSMUSG00000046337",0,0,0,0
"ENSMUSG00000089906",0,0,0,1
"ENSMUSG00000077939",0,0,0,0
"ENSMUSG00000061518",8,10,4,7
"ENSMUSG00000037351",106,127,121,112
"ENSMUSG00000102416",1,0,1,0
"ENSMUSG00000104237",0,0,0,0
"ENSMUSG00000026117",0,0,0,0
"ENSMUSG00000097291",0,0,0,0
"ENSMUSG00000026116",8,13,8,14
"ENSMUSG00000103016",0,0,0,0
"ENSMUSG00000102930",0,0,0,0
"ENSMUSG00000103159",0,0,0,0
"ENSMUSG00000080054",0,0,0,0
"ENSMUSG00000095944",0,0,0,0
"ENSMUSG00000050122",1,2,3,1
"ENSMUSG00000103603",0,0,0,0
"ENSMUSG00000026114",0,0,0,0
"ENSMUSG00000102231",0,0,0,0
"ENSMUSG00000026113",30,23,34,38
"ENSMUSG00000086064",0,0,0,0
"ENSMUSG00000102879",0,0,0,0
"ENSMUSG00000026112",25,23,37,24
"ENSMUSG00000026111",7,7,8,10
"ENSMUSG00000026110",12,11,10,10
"ENSMUSG00000103948",0,0,0,0
"ENSMUSG00000087233",0,0,0,0
"ENSMUSG00000026090",84,115,101,107
"ENSMUSG00000089767",1,1,2,0
"ENSMUSG00000104365",0,0,0,0
"ENSMUSG00000102650",0,0,0,0
"ENSMUSG00000060771",1,1,1,1
"ENSMUSG00000097268",1,0,0,0
"ENSMUSG00000037216",1,2,1,3
"ENSMUSG00000026088",1,3,4,2
"ENSMUSG00000026087",6,11,5,4
"ENSMUSG00000061584",0,0,0,0
"ENSMUSG00000087374",0,0,0,0
"ENSMUSG00000026085",0,0,0,0
"ENSMUSG00000089141",0,0,0,0
"ENSMUSG00000058407",6,10,8,6
"ENSMUSG00000026083",8,4,9,7
"ENSMUSG00000026082",0,1,1,2
"ENSMUSG00000103804",0,0,0,0
"ENSMUSG00000102716",0,0,0,0
"ENSMUSG00000037138",13,15,16,8
"ENSMUSG00000085391",0,0,0,0
"ENSMUSG00000085280",0,0,0,0
"ENSMUSG00000087131",1,0,0,0
"ENSMUSG00000102984",0,0,0,0
"ENSMUSG00000102541",0,0,0,0
"ENSMUSG00000103531",0,0,0,0
"ENSMUSG00000048814",34,32,40,35
